"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","1.3.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","1.3.0","host","USB","53","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","1.3.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","1.3.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","1.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","1.4.0","host","USB","62","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","1.4.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","1.4.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","1.5.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","1.5.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","1.5.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","1.5.0","host","USB","87","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","1.5.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","1.5.0","host","USB","28","SET CONFIGURATION Response"
"19","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"20","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"21","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"22","0.000000","1.1.0","host","USB","69","GET DESCRIPTOR Response CONFIGURATION"
"23","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request"
"24","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response"
"25","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"26","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"27","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"28","0.000000","1.2.0","host","USB","281","GET DESCRIPTOR Response CONFIGURATION"
"29","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request"
"30","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response"
"31","0.090808","1.4.1","host","USB","31","URB_INTERRUPT in"
"32","0.090846","host","1.4.1","USB","27","URB_INTERRUPT in"
"33","0.122808","1.4.1","host","USB","31","URB_INTERRUPT in"
"34","0.122836","host","1.4.1","USB","27","URB_INTERRUPT in"
"35","0.138803","1.4.1","host","USB","31","URB_INTERRUPT in"
"36","0.138826","host","1.4.1","USB","27","URB_INTERRUPT in"
"37","0.146746","1.4.1","host","USB","31","URB_INTERRUPT in"
"38","0.146770","host","1.4.1","USB","27","URB_INTERRUPT in"
"39","0.154703","1.4.1","host","USB","31","URB_INTERRUPT in"
"40","0.154724","host","1.4.1","USB","27","URB_INTERRUPT in"
"41","0.162808","1.4.1","host","USB","31","URB_INTERRUPT in"
"42","0.162830","host","1.4.1","USB","27","URB_INTERRUPT in"
"43","0.170801","1.4.1","host","USB","31","URB_INTERRUPT in"
"44","0.170820","host","1.4.1","USB","27","URB_INTERRUPT in"
"45","0.178804","1.4.1","host","USB","31","URB_INTERRUPT in"
"46","0.178826","host","1.4.1","USB","27","URB_INTERRUPT in"
"47","0.186802","1.4.1","host","USB","31","URB_INTERRUPT in"
"48","0.186820","host","1.4.1","USB","27","URB_INTERRUPT in"
"49","0.194705","1.4.1","host","USB","31","URB_INTERRUPT in"
"50","0.194753","host","1.4.1","USB","27","URB_INTERRUPT in"
"51","0.202739","1.4.1","host","USB","31","URB_INTERRUPT in"
"52","0.202803","host","1.4.1","USB","27","URB_INTERRUPT in"
"53","0.210786","1.4.1","host","USB","31","URB_INTERRUPT in"
"54","0.210812","host","1.4.1","USB","27","URB_INTERRUPT in"
"55","0.218801","1.4.1","host","USB","31","URB_INTERRUPT in"
"56","0.218820","host","1.4.1","USB","27","URB_INTERRUPT in"
"57","0.226773","1.4.1","host","USB","31","URB_INTERRUPT in"
"58","0.226833","host","1.4.1","USB","27","URB_INTERRUPT in"
"59","0.234802","1.4.1","host","USB","31","URB_INTERRUPT in"
"60","0.234820","host","1.4.1","USB","27","URB_INTERRUPT in"
"61","0.242805","1.4.1","host","USB","31","URB_INTERRUPT in"
"62","0.242832","host","1.4.1","USB","27","URB_INTERRUPT in"
"63","0.250805","1.4.1","host","USB","31","URB_INTERRUPT in"
"64","0.250823","host","1.4.1","USB","27","URB_INTERRUPT in"
"65","0.258735","1.4.1","host","USB","31","URB_INTERRUPT in"
"66","0.258768","host","1.4.1","USB","27","URB_INTERRUPT in"
"67","0.266806","1.4.1","host","USB","31","URB_INTERRUPT in"
"68","0.266823","host","1.4.1","USB","27","URB_INTERRUPT in"
"69","0.274808","1.4.1","host","USB","31","URB_INTERRUPT in"
"70","0.274832","host","1.4.1","USB","27","URB_INTERRUPT in"
"71","0.282794","1.4.1","host","USB","31","URB_INTERRUPT in"
